dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Sewerage,000784_lcam_front_lidar.ply,0.10002,799,0.13849,0.14188,0.15001,500,0.00797,0.19842,0.25,200,0.01656,0.23639,strict
Sewerage,000785_lcam_front_lidar.ply,0.10002,799,0.14195,0.14459,0.15001,500,0.00912,0.12999,0.25,200,0.00712,0.14652,strict
Sewerage,000786_lcam_front_lidar.ply,0.10002,799,0.14192,0.14548,0.15001,500,0.00339,0.16745,0.25,200,0.01828,0.26007,strict
Sewerage,000787_lcam_front_lidar.ply,0.10002,799,0.13725,0.14158,0.15001,500,0.00611,0.17787,0.25,200,0.00844,0.1564,strict
Sewerage,000788_lcam_front_lidar.ply,0.10002,799,0.00733,0.12859,0.15001,500,0.00946,0.19961,0.25,200,0.00623,0.09813,standard
Sewerage,000789_lcam_front_lidar.ply,0.10002,799,0.14057,0.14467,0.15001,500,0.1908,0.20096,0.25,200,0.00906,0.17714,standard
Sewerage,000790_lcam_front_lidar.ply,0.10002,799,0.00285,0.13241,0.15001,500,0.01476,0.18249,0.25,200,0.01929,0.28073,loose
Sewerage,000791_lcam_front_lidar.ply,0.10002,799,0.13823,0.14409,0.15001,500,0.00929,0.17821,0.25,200,0.0016,0.00186,strict
Sewerage,000792_lcam_front_lidar.ply,0.10002,799,0.13914,0.14471,0.15001,500,0.21406,0.21869,0.25,200,0.01728,0.24961,standard
Sewerage,000793_lcam_front_lidar.ply,0.10002,799,0.00491,0.07164,0.15001,500,0.01351,0.17126,0.25,200,0.00418,0.04411,standard
Sewerage,000794_lcam_front_lidar.ply,0.10002,799,0.13322,0.13832,0.15001,500,0.01014,0.12431,0.25,200,0.0166,0.26324,strict
Sewerage,000795_lcam_front_lidar.ply,0.10002,799,0.13537,0.143,0.15001,500,0.01019,0.1291,0.25,200,0.01667,0.26919,strict
